,Year,Country,Area,Location,Activity,Fatal (Y/N),Injury,Species
4478,1950.0,SOUTH AFRICA,Eastern Cape Province,"Off bank of Ntshala River, Morgan Bay",Wading,N,"Ankle & foot lacerated, defense wounds on hand",Other
4479,1950.0,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",Other,Y,FATAL,No Values
4480,1950.0,AUSTRALIA,Western Australia,"City Beach, Perth",Other,,"Szot's right hand found in a 4.5' [14.5'] tiger shark caught 3/9/1950 at Safety Bay, south of Freemantle. His body, with bullet wound in head & right hand missing, washed shore - an apparent suicide",Other
4481,1950.0,AUSTRALIA,Western Australia,"Cottesloe, Perth",Spearfishing,N,Minor injury to leg,Other
4482,1950.0,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",Surfing,Y,"FATAL, body not recovered ",White shark
4483,1950.0,USA,Hawaii,"Kahakuloa, Maui",Fishing,,"His remains were recovered from a huge shark caught 3 days later. The remains of another fisherman, Harold Fujimoto, were recovered, but the body of the third fisherman, Hideo Tamura, was never found",Other
4484,1950.0,AUSTRALIA,Victoria,South Werribee Beach,Swimming,N,3 lacerations to heel,No Values
4485,1950.0,AUSTRALIA,Tasmania,Triabunna,Other,N,"No injury to occupant, shark bit side of dinghy",White shark
4486,1950.0,SRI LANKA,Eastern Province,Heda Oya Estuary,Fishing,N,Buttock removed,Lemon shark
4487,1950.0,SRI LANKA,Southern Province,Dodnduwa,Spearfishing,N,"No injury, but shark damaged one of his swim fins",Other
4488,1950.0,LIBERIA,Montserrado,Monrovia,Other,Y,FATAL,No Values
4489,1950.0,INDONESIA,Jakarta Harbour,On rock near Yacht Club,Other,Y,FATAL,Tiger shark
4490,1950.0,USA,Florida,"Jacksonville Beach, Duval County",Standing,N,Arm bitten,No Values
4491,1950.0,USA,Hawaii,"Waikiki, O'ahu",Spearfishing,,"No injury from shark, scraped chest climbing out on reef",White shark
4492,1950.0,PANAMA,Canal Zone,300 yards west of mouth of the Chagres River,Bathing,N,Foot & hand severed,Other
4493,1950.0,GREECE,,"Piraeus, Athens",Swimming,Y,FATAL,No Values
4494,1950.0,SINGAPORE,Singapore Harbor,,Diving,Y,FATAL,No Values
4495,1950.0,NEW CALEDONIA,North Province,"Voh, near meatworks",Spearfishing,N,"Shark jumped from sea, taking fish & his right arm",No Values
4496,1950.0,NEW CALEDONIA,North Province,Mangalia Reef above Touho ,Diving,N,"Arm bitten, surgically amputated",No Values
4497,1950.0,FIJI,,Near Lautoka,Other,N,Survived,No Values
4498,1949.0,,Caribbean Sea,Between  Cuba  & Costa Rica,Other,Y,Fatal or drowning or scavenging,Other
4499,1949.0,AUSTRALIA,Victoria,Seaholme,Other,N,"No injury,     Shark landed on top of him, knocked him back down 3 times",Grey shark
4500,1949.0,AUSTRALIA,New South Wales,"Kurnell, Botany Bay ",Diving,N,Left arm bitten ,Other
4501,1949.0,AUSTRALIA,Victoria,Port Phillip Bay,Other,,Fatal or drowning or scavenging,Other
