,Year,Country,Area,Location,Activity,Fatal (Y/N),Injury,Species
2738,1988.0,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Swimming,N,Lacerations to left foot,No Values
2739,1988.0,USA,Hawaii,"Waihe'e, Maui",Other,,"Human remains, believed to be those of Mr. Goo, washed ashore along the Waihee shore several days later",Other
2740,1988.0,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,N,Right hand bitten,No Values
2741,1988.0,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Windsurfing,N,"6"" laceration to left foot",No Values
2742,1988.0,SOUTH AFRICA,KwaZulu-Natal,La Lucia,Other,,"Arm washed ashore. scratch marks on the humerus indicated it had been bitten by a shark, but cause of death could not be determined.",Other
2743,1988.0,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Standing,N,Foot bitten,No Values
2744,1988.0,USA,Hawaii,"Running Waters Beach, Ninini Point, Kaua'i",Surfing,N,Ankle bitten,No Values
2745,1988.0,SOUTH AFRICA,KwaZulu-Natal,Isipingo,Surfing,N,"Lower left leg bitten, hand lacerated",Other
2746,1988.0,REUNION,Saint-Pierre,Pic du Diable,Surfing,N,Laceration to hand,No Values
2747,1988.0,SOUTH AFRICA,KwaZulu-Natal,"Brighton Beach, Durban",Other,N,"No injury to occupants, pontoon puctured",Raggedtooth shark
2748,1988.0,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,N,Ankle bitten,Other
2749,1988.0,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,Surfing,N,"Leg bitten, surgically amputated",Other
2750,1988.0,AUSTRALIA,Western Australia,18 km west of Bunbury,Fishing,N,"No injury to occupants; shark leapt into boat, almost capsizing it and destroyed the inside of the boat",Mako shark
2751,1988.0,Fiji,Vanua Levu,,Diving,N,Lacerations to left arm & waist,Tiger shark
2752,1988.0,SOUTH AFRICA,KwaZulu-Natal,Durban,Surfing,,Minor injury to leg,Other
2753,1988.0,AUSTRALIA,Torres Strait,,Fishing,,His remains were recovered from a shark caught by  the trawler Ho Tai No.12 in March 1988,Other
2754,1988.0,USA,Louisiana,,Fishing,N,Hand bitten by captured shark PROVOKED INCIDENT,Mako shark
2755,1988.0,SOUTH AFRICA,Western Cape Province,Struisbaai,Other,N,Foot lacerated by hooked shark PROVOKED INCIDENT,Other
2756,1988.0,SOUTH AFRICA,Western Cape Province,Great Brak River,Other,N,"No injury to occupants; shark ripped off fibreglass hull, swamping boat PROVOKED INCIDENT",Other
2757,1988.0,AUSTRALIA,New South Wales,Sydney,Surfing,N,Hand bitten,Other
2758,1987.0,PHILIPPINES,Mindoro,Off Manila,Other,Y,25 people survived; 300 shark-mutilated bodies were recovered,No Values
2759,1987.0,USA,Florida,"Palm Beach, Palm Beach County",Surfing,N,Left calf bitten,Blacktip shark
2760,1987.0,AUSTRALIA,New South Wales,Shoalhaven,Other,,"Remains recovered from 4 m, 420-kg, caught 13-Dec-1987k",Other
2761,1987.0,USA,Florida,"North of Jupiter Inlet, Palm Beach County",Surfing,N,Leg lacerated,No Values
2762,1987.0,SOUTH AFRICA,KwaZulu-Natal,St. Lucia,Other,,Possible drowning / scavenging,Other
2763,1987.0,USA,California,"Davenport Light, San Mateo County",Surfing,N,Buttock & leg bitten,Other
2764,1987.0,SOUTH AFRICA,KwaZulu-Natal,Richards Bay,Boarding,,Abrasion to forearm,Other
2765,1987.0,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",Spearfishing,N,Left thigh & calf lacerated,White shark
2766,1987.0,DOMINICAN REPUBLIC,Between DR and Puerto Rico,Mona Passage,Other,Y,"Of 160 people on board, >100 missing",Other
2767,1987.0,AUSTRALIA,South Australia,"Merino Rocks, Adelaide",Scuba,Y,FATAL,White shark
2768,1987.0,SOUTH AFRICA,Western Cape Province,Still Bay,Surfing,N,Torso lacerated,White shark
2769,1987.0,USA,Florida,"Satellite  Beach, Brevard County",Wading,N,Lower left leg lacerated,Other
2770,1987.0,USA,California,"Tunitas Beach, San Mateo County",Surfing,N,Fingers & surfboard injured,White shark
2771,1987.0,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,N,Right foot & ankle lacerated,Other
2772,1987.0,USA,Texas,"Mustang Island, near Port Aransas",Surfing,N,Left foot bitten,Other
2773,1987.0,USA,Texas,"Mustang Island, near Port Aransas",Wading,N,Puncture wounds to right foot,Other
2774,1987.0,USA,South Carolina,Winyah Bay,Other,N,No injury to occupants. Shark grabbed anchor ,Other
2775,1987.0,BAHAMAS,Exuma Islands,Sampson Cay,Snorkeling,N,Right leg bitten,No Values
2776,1987.0,BAHAMAS,,,Spearfishing,N,Puncture marks to torso,Other
2777,1987.0,USA,Florida,"Nest Key, Monroe County",Fishing,N,Left hand bitten by shark he was dragging ashore by its head PROVOKED INCIDENT,Blacktip shark
2778,1987.0,USA,South Carolina,"Myrtle Beach, Horry County",Other,N,"6"" cut to thigh",Other
2779,1987.0,USA,Florida,"St Augustine, St. Johns County",Surfing,N,Hand lacerated  ,No Values
2780,1987.0,AUSTRALIA,New South Wales,,Fishing,N,3 fingers severed by metal trace as he tried to haul in a hooked shark. PROVOKED ACCIDENT,No Values
2781,1987.0,SOUTH AFRICA,KwaZulu-Natal,Port Shepstone,Fishing,,"Slipped off rocks & was treading water when he disappeared, body mutilated by shark/s",Other
2782,1987.0,USA,Texas,"Mustang Island, near Port Aransas",Swimming,N,Right arm severed above elbow,No Values
2783,1987.0,USA,Hawaii,"Kailua-Kona, Hawai'i",Swimming,Y,"Presumed FATAL Disappeared, his shark-bitten swim trunks were found on the seafloor",No Values
2784,1987.0,VANUATU,Malampa Province,Vao Island,Swimming,Y,FATAL,Other
2785,1987.0,AUSTRALIA,Western Australia,Fourth Beach / Twilgth Beach,Surfing,N,Calf lacerated,Bronze shark
2786,1987.0,SOUTH AFRICA,Western Cape Province,Muizenberg,Other,N,"No injury to occupants, boat holed by hooked shark PROVOKED INCIDENT",White shark
2787,1987.0,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Windsurfing,N,"Lacerations to toe, heel & ankle of right foot",Spinner shark
2788,1987.0,SOLOMON ISLANDS,Between Honiara & Isabel Island,,Other,Y,FATAL,No Values
2789,1987.0,SOUTH AFRICA,Eastern Cape Province,Eerste River,Spearfishing,N,Puncture wounds to right hand,White shark
2790,1987.0,AUSTRALIA,Queensland,Lizard Island,Swimming,N,Right leg lacerated,No Values
2791,1987.0,MONTENEGRO,Adriatic Sea,"Mogren Beach, Budva",Other,,FATAL,Other
2792,1987.0,ITALY,Tyrrhenian Sea,"Marciana Marina, Isola d'Elba",Other,N,No injury,White shark
2793,1986.0,SOUTH AFRICA,Western Cape Province,Agulhas Banks,Spearfishing,N,2 punctures in lower leg,Raggedtooth shark
2794,1986.0,SOUTH AFRICA,Western Cape Province,SAOU Strand,Boarding,Y,"FATAL, legs bitten ",White shark
2795,1986.0,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,N,Forearm bitten,Spinner shark
2796,1986.0,BAHAMAS,Florida Straits,Off Cay Sal  Banks,Other,N,"No injury, bumped  by sharks",No Values
2797,1986.0,USA,California,"Monastery Beach, Carmel River State Park, Monterey Peninsula, Monterey California",Diving,N,"Punctured lung, lacerations to shoulder, face, jaw, neck & forearm",White shark
2798,1986.0,SOUTH AFRICA,Western Cape Province,Platbank,Spearfishing,,"No injury, no attack, 1.8 m copper shark made threat displays",Other
2799,1986.0,NEW CALEDONIA,,I'le Ouen,Spearfishing,N,Right leg bitten,Tiger shark
2800,1986.0,USA,Florida,"Daytona Beach, Volusia County",Surfing,N,5' gash in leg,No Values
2801,1986.0,USA,Florida,"Indiatlantic, Brevard County",Surfing,N,Laceration to dorsum of left foot,No Values
2802,1986.0,USA,Florida,"Tiger Shores Beach, Martin County",Surfing,N,Ankle bitten,No Values
2803,1986.0,SOUTH AFRICA,KwaZulu-Natal,Umhlanga,Other,N,Minor lacerations & puncture wounds to right leg from netted shark taken onboard skiboat PROVOKED INCIDENT,Raggedtooth shark
2804,1986.0,USA,Florida,"Sanibel Island, Lee County",Swimming,N,Hip & thigh bitten,Lemon shark
2805,1986.0,SOUTH AFRICA,KwaZulu-Natal,St. Michaels,Other,N,"No injury, ski bitten",Other
2806,1986.0,AUSTRALIA,Western Australia,"Direction Island, Cocos Islands",Other,UNKNOWN,No details,No Values
2807,1986.0,USA,Florida,"Floridana Beach, Brevard County",Surfing,N,Laceration to right arm,Bull shark
2808,1986.0,USA,Florida,"Pinellas Point, Tampa Bay",Other,,Human hand recovered from 1.5 m [5'] blacktip shark's stomach,Other
2809,1986.0,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County",Surfing,N,Survived,No Values
2810,1986.0,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,N,Hand bitten,No Values
2811,1986.0,USA,North Carolina,"Masonboro Inlet, New Hanover County",Surfing,N,Hand bitten,No Values
2812,1986.0,SOUTH AFRICA,Western Cape Province,Reef on seaward side of Geyser Island,Spearfishing,,"No injury, shark made threat display & impaled itself on spear ",Other
2813,1986.0,AUSTRALIA,New South Wales,"North Head, Sydney Harbour",Scuba,N,Survived,Other
2814,1986.0,FRANCE,Gulf of Lyons,Gruissan,Other,N,Survived,No Values
2815,1986.0,AUSTRALIA,Western Australia,3 km west of Rottnest Island,Fishing,N,"No injury to occupants. Shark bit motor, lifting stern a half-metre out of the water",White shark
2816,1986.0,USA,South Carolina,"Myrtle Beach, Horry County",Other,N,Back of left thigh bitten,Other
2817,1986.0,SOUTH AFRICA,KwaZulu-Natal,LaMercy,Spearfishing,N,Minor lacerations on left hand,Other
2818,1986.0,AUSTRALIA,New South Wales,"North Head, Sydney Harbour",Scuba,N,Survived,Other
2819,1986.0,SOUTH KOREA,,,Diving,Y,FATAL,No Values
2820,1986.0,USA,Hawaii,"Kaliiwi, Kauai",Fishing,Y,Pieces of clothing & human flesh recovered by Fire Department divers who encountered a large shark,No Values
2821,1986.0,SPAIN,Catalonia,Lloret-de-Mar,Diving,N,Abrasions,Other
2822,1986.0,SPAIN,Cádiz,Tarifa ,Windsurfing,N,Foot severed,White shark
2823,1986.0,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",Other,N,Foot bitten,Other
2824,1986.0,SOUTH AFRICA,Eastern Cape Province,"The Fence, King's Beach, Port Elizabeth",Surfing,N,"No injury, board struck by shark",Other
2825,1986.0,SOUTH AFRICA,Eastern Cape Province,East London,Surfing,N,"No injury, board bitten",White shark
2826,1986.0,SOUTH AFRICA,Eastern Cape Province,Cape Recife,Surfing,N,"No injury, knocked off board",No Values
2827,1986.0,SOUTH AFRICA,Eastern Cape Province,"King's Beach, Port Elizabeth",Swimming,N,Lower leg lacerated,Raggedtooth shark
2828,1986.0,SOUTH AFRICA,Western Cape Province,Arniston,Spearfishing,N,2 punctures in upper arm,Raggedtooth shark
2829,1986.0,AUSTRALIA,Victoria,Jan Juc Beach,Surfing,N,"No injury, knocked into water & board bitten",Bronze shark
2830,1986.0,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,N,Puncture wounds to both feet,Blacktip shark
2831,1986.0,USA,California,"Linda Mar Beach, Pedro Point, San Mateo County",Surfing,N,"No injury, foot bumped",Other
2832,1985.0,SOUTH AFRICA,KwaZulu-Natal,Garvies Beach,Surfing,N,"Both surfers boards were bumped by sharks, Moolman sustained abrasions on his arm and leg",No Values
2833,1985.0,USA,North Carolina,New Hanover County,Other,N,Survived,Sandtiger shark
2834,1985.0,AUSTRALIA,Queensland,Gladstone,Fishing,N,Laceration to lower left leg by hooked shark PROVOKED INCIDENT,Other
2835,1985.0,USA,California,"Southeast Farallon Island, Farallon Islands",Other,N,2 semi-circular bites on aft starboard tube of boat,White shark
2836,1985.0,USA,California,5 miles south of Redondo Beach,Fishing,N,Forearm bitten by hooked shark PROVOKED INCIDENT,No Values
2837,1985.0,SOUTH AFRICA,Eastern Cape Province,East London,Boarding,N,"Left leg severely lacerated, superficial lacerations of right leg,  board damaged",White shark
2838,1985.0,USA,California,"Point Conception, Santa Barbara County",Diving,N,Minor injury to foot & ankle,Other
2839,1985.0,USA,Hawaii,"Little Glass Shacks, Princeville, Kaua'i",Boarding,N,"Right hand and part of forearm severed , left hand lacerated, right anterior side of board removed by shark",Tiger shark
2840,1985.0,USA,Hawaii,"Barbers Point, O'ahu",Diving,N,Left arm lacerated,Other
2841,1985.0,USA,Alabama,"Gulf Shores, Baldwin County",Fishing,N,Laceration to leg by hooked shark  PROVOKED INCIDENT,Other
2842,1985.0,USA,California,"Elephant Rock near Tomales Point, Marin County",Diving,N,"Hip bumped by shark, no Injury",White shark
2843,1985.0,SOUTH AFRICA,KwaZulu-Natal,T.O. Strand,Swimming,,Probable drowning / scavenging,Other
2844,1985.0,USA,Florida,"Palm Beach, Palm Beach County",Scuba,N,Laceration and 4 puncture wounds to left hand,Other
2845,1985.0,USA,Florida,"Fort Pierce Inlet, St Lucie County",Swimming,,Found to be a hoax,Other
2846,1985.0,USA,South Carolina,"Palmetto Dunes, Hilton Head, Beaufort County",Wading,N,Right calf bitten & less serious injury to left foot,No Values
2847,1985.0,USA,Florida,"New Smyrna Beach, Volusia County",Wading,,"3"" wound on thigh",Other
2848,1985.0,USA,Florida,"Bayport, Hernando County",Scuba,,Body not recovered. 3 days later some of his equipment was found on seabed appeared damaged by a shark ,Other
2849,1985.0,USA,Florida,"Daytona Beach, Volusia County",Wading,N,Right calf bitten,Hammerhead shark
2850,1985.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Hand bitten,No Values
2851,1985.0,USA,California,"Off Shelter Cover (between Fort Bragg & Eureka), Humboldt County",Fishing,N,"No injury to occupant, shark rammed boat catapulting it out of the water",White shark
2852,1985.0,USA,South Carolina,"Folly Beach, Charleston County",Other,N,2/3rd of left calf removed,Tiger shark
2853,1985.0,ITALY,Sicily,Punta Secca,Snorkeling,N,Contusion of left foot,White shark
2854,1985.0,USA,California,"Long Beach, Los Angeles County",Surfing,N,Leg injured,Other
2855,1985.0,SOUTH AFRICA,KwaZulu-Natal,Umdhloti,Spearfishing,N,"After diver shot shark attempting to take his catch, shark bit right arm & tore wetsuit  PROVOKED INCIDENT",Other
2856,1985.0,USA,Florida,"Palm Beach, Palm Beach County",Surfing,N,Hand bitten,No Values
2857,1985.0,AUSTRALIA,South Australia,"Wisemans Beach, Peake Bay, Port Lincoln",Diving,Y,FATAL,White shark
2858,1985.0,USA,California,"San Miguel Island, Santa Barbara County",Scuba,N,Bruised,White shark
2859,1985.0,USA,Florida,"15 miles north of Sebastian Inlet, Brevard County",Surfing,N,Right foot bitten,No Values
2860,1985.0,SOUTH AFRICA,Western Cape Province,Struisbaai,Swimming,N,"Right knee, calf and ankle lacerated",Raggedtooth shark
2861,1985.0,SOUTH AFRICA,KwaZulu-Natal,Umzimkulu,Other,,Probable drowning / scavenging,Other
2862,1985.0,SOUTH AFRICA,KwaZulu-Natal,Umbogintwini,Surfing,N,Thigh & calf bitten,White shark
2863,1985.0,NEW ZEALAND,South Island,Christchurch,Other,N,"No injury to occupant, shark bit boat",Other
2864,1985.0,SOUTH AFRICA,Western Cape Province,"Buffels Bay, False Bay",Spearfishing,N,Minor injury to torso,White shark
2865,1985.0,NEW CALEDONIA,South Province,Amedee Island,Spearfishing,N,Legs bitten ,Tiger shark
2866,1985.0,SOUTH AFRICA,KwaZulu-Natal,Salt Rock,Spearfishing,N,Upper right arm bitten after he shot the shark PROVOKED INCIDENT,Other
2867,1985.0,VANUATU,Malampa Province,"Port Sandwich Bay, Lamap, Malakula",Other,Y,FATAL,No Values
2868,1985.0,IRAN,,"Ramin, near Ahvaz",Fishing,Y,FATAL,Bull shark
2869,1984.0,ITALY,Tyrrhenian Sea,"Marciana Marina, Isola d'Elba",Other,N,No injury,White shark
2870,1984.0,AUSTRALIA,Queensland,1 km off Black's Beach,Other,Y,FATAL,Tiger shark
2871,1984.0,USA,Florida,"Jupiter Island Beach, Martin County",Surfing,N,Left foot bitten,Other
2872,1984.0,USA,Florida,"Fowey Rock, Key Biscayne",Spearfishing,N,"Speared shark bit diver's right knee, and lacerated right thigh & buttocks PROVOKED INCIDENT",Other
2873,1984.0,USA,Florida,"Wabasso Beach, Indian River County",Swimming,,"Disappeared, 1 mile from where Sandra Fletcher was bitten. Death was due to drowning",Other
2874,1984.0,USA,Florida,"3 miles south of Sebastian Inlet State Park, Indian River County",Surfing,N,"9"" laceration to right forearm ",Other
2875,1984.0,USA,Florida,"Boynton Beach, Palm Beach County",Wading,,"10"" laceration on leg",Other
2876,1984.0,USA,Florida,"Bob Graham Beach, Martin County",Surfing,N,Left calf bitten,Blacktip shark
2877,1984.0,USA,Oregon,"""Turnaround"", Cape Kiwanda, Tillamook County",Surfing,N,"Abrasion on right foot, board bitten",White shark
2878,1984.0,USA,California,"Tomales Point, Marin County",Diving,N,Legs & buttocks bitten,White shark
2879,1984.0,USA,Florida,Volusia County,Surfing,N,Right foot bitten,No Values
2880,1984.0,USA,Florida,,Swimming,N,Left foot lacerated,No Values
2881,1984.0,USA,Florida,"Indiatlantic, Brevard County",Surfing,N,Foot bitten,Hammerhead shark
2882,1984.0,USA,Florida,Volusia County,Swimming,UNKNOWN,No details,No Values
2883,1984.0,USA,California,"Mission Beach, San Diego County",Wading,N,Arm bitten,Blue shark
2884,1984.0,USA,California,"Pigeon Point, San Mateo County",Other,Y,FATAL,White shark
2885,1984.0,MEXICO,Baja California,Guadalupe Island,Spearfishing,N,"No Injury, PROVOKED INCIDENT",White shark
2886,1984.0,USA,Florida,"Off Crystal River, Citrus County",Other,,Death was due to drowning; body scavenged by a tiger shark,Other
2887,1984.0,INDONESIA,,Bali,Other,Y,FATAL,No Values
2888,1984.0,USA,Texas,South Padre Island,Swimming,N,Lacerations on right foot,No Values
2889,1984.0,USA,Texas,South Padre Island,Swimming,N,Legs severely lacerated,Other
2890,1984.0,SOUTH AFRICA,Western Cape Province,Cape Point,Spearfishing,,"FATAL, but shark involvement prior to death could not be determined",Other
2891,1984.0,USA,Florida,,Fishing,N,Leg abraded,No Values
2892,1984.0,SOUTH AFRICA,KwaZulu-Natal,Sodwana,Spearfishing,N,"No injury, shark hit swim fin",Raggedtooth shark
2893,1984.0,SOUTH AFRICA,Western Cape Province,"Muizenberg, False Bay",Surfing,N,"No injury, board bitten",White shark
2894,1984.0,USA,Hawaii,"Kane'ohe Bay, O'ahu",Boarding,N,Foot bitten,Hammerhead shark
2895,1984.0,VANUATU,Malampa Province,"Atchin Island, off Malakula",Swimming,Y,FATAL,No Values
2896,1984.0,SOUTH AFRICA,Western Cape Province,Arniston,Spearfishing,N,Swim fin bitten,No Values
2897,1984.0,SOMALIA,,,Other,, Forced at gunpoint to jump overboard. Presumed fatal; shark involvement probable but not confirmed ,Other
2898,1984.0,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Surfing,N,"No injury, 8 pressure dings in surboard",No Values
2899,1984.0,SOUTH AFRICA,Eastern Cape Province,Swartkops River mouth,Other,N,"No injury to occupant, shark seized oar and disappeared with it.",Other
2900,1984.0,AUSTRALIA,Western Australia,Coral Bay,Other,UNKNOWN,No details,No Values
2901,1984.0,SOUTH AFRICA,Eastern Cape Province,"Paradise Beach, Jeffreys Bay",Fishing,N,Leg lacerated by hooked shark PROVOKED INCIDENT,Raggedtooth shark
2902,1984.0,SOUTH AFRICA,KwaZulu-Natal,"Shark tank at Oceanographic Research Insitute, Durban",Scuba,N,Punctures in wetsuit & left arm bruised by captive shark PROVOKED INCIDENT,Other
2903,1984.0,SOUTH AFRICA,Eastern Cape Province,St. Georges Strand,Other,,"Human remains recovered, evidence of scavenging by shark/s",Other
2904,1984.0,AUSTRALIA,Queensland,Derwent Island,Spearfishing,N,Hand bitten,Other
2905,1984.0,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Swimming,N,Foot bitten,Raggedtooth shark
2906,1984.0,SOUTH AFRICA,KwaZulu-Natal,Umlaas Canal,Other,Y,Remains recovered 1-4-1984 showed evidence of defense wounds,No Values
2907,1984.0,USA,California,San Francisco,Other,N,Head mouthed by captive shark PROVOKED INCIDENT,Other
2908,1984.0,USA,Florida,"Indiatlantic, Brevard County",Surfing,N,Right foot bitten,No Values
2909,1983.0,GREECE,Andikira Fokithes,,Spearfishing,,"Coroner determined the man was killed by a boat propeller, not a tiger shark",Other
2910,1983.0,USA,Florida,"Riviera Beach, Palm Beach County",Surfing,N,Left foot & thigh bitten,No Values
2911,1983.0,AUSTRALIA,South Australia,"Dangerous Reef, South Neptune Island",Scuba,N,Fingers bitten,White shark
2912,1983.0,SOUTH AFRICA,Eastern Cape Province,Great Fish River,Swimming,N,"Left calf, ankle & foot lacerated",No Values
2913,1983.0,SOUTH AFRICA,Eastern Cape Province,Nahoon,Swimming,N,Shin lacerated,Raggedtooth shark
2914,1983.0,SOUTH AFRICA,KwaZulu-Natal,LaMercy,Other,,"Two feet found in 1.74 m, 115-kg Zambesi shark, confirmed as a postmortem scavenging",Other
2915,1983.0,PHILIPPINES,Central Philippines,,Other,N,Left foot nipped,Other
2916,1983.0,USA,Florida,"Melbourne Beach, Brevard County",Surfing,N,Laceration to left foot,Tiger shark
2917,1983.0,SOUTH AFRICA,KwaZulu-Natal,Tongaat,Swimming,,Probable drowning and scavenging,Other
2918,1983.0,USA,Florida,"Stuart Beach, Martin County",Surfing,N,Puncture marks in leg & surfboard dinged,Other
2919,1983.0,USA,Florida,"Daytona Beach, Volusia County",Wading,N,Lacerations to left ankle,Other
2920,1983.0,USA,Florida,"Off Lake Worth, Palm Beach County",Standing,N,Abrasions to leg,No Values
2921,1983.0,USA,Oregon,"Cape Kiwanda,Tillamook County",Surfing,N,"No injury, board bitten",White shark
2922,1983.0,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",Spearfishing,N,Inner thighs lacerated,White shark
2923,1983.0,USA,Virginia,"Virginia Beach, Princess Anne County",Swimming,N,Foot bitten,Sand shark
2924,1983.0,USA,Florida,"Riviera Beach, Palm Beach County",Other,N,Hand abraded when he grabbed shark's tail PROVOKED INCIDENT,Nurse shark
2925,1983.0,USA,Florida,"6 miles south of Boca Chica Key, Monroe County ",Diving,N,Right leg severely bitten,Bull shark
2926,1983.0,USA,Rhode Island,,Fishing,N,No injury to occupants,No Values
2927,1983.0,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming,Y,"FATAL, shark seized her by the chest and took her underwater ",Tiger shark
2928,1983.0,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming,Y,"FATAL, shark bit leg, then dragged him underwater ",Tiger shark
2929,1983.0,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Other,N,"Left knee bitten, but survived",Tiger shark
2930,1983.0,SOUTH AFRICA,Eastern Cape Province,"Seal Point, Cape St. Francis",Surfing,N,Left arm injured by shark's tail as it swam beneath his board,Other
2931,1983.0,USA,Florida,"Caloosahatchee River, Lee County",Windsurfing,N,Left ankle nipped (3 punctures wounds),Hammerhead shark
2932,1983.0,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,N,Lacerations to left calf,No Values
2933,1983.0,USA,Florida,"Riviera Beach, Palm Beach County",Other,N,"No injury, shark bit air mattress, deflating it",No Values
2934,1983.0,USA,Florida,"Off 12th Street, Miami Beach",Swimming,N,Left foot bitten,No Values
2935,1983.0,BAHAMAS,Abaco Islands,"Off Sandy Point, Great Abaco Island",Spearfishing,Y,FATAL,No Values
2936,1983.0,USA,Florida,"Cocoa Beach, Brevard County",Surfing,N,Left foot lacerated,No Values
2937,1983.0,BAHAMAS,,Carter Cay,Other,N,Lacerations to hand & foot,Blacktip shark
2938,1983.0,ITALY,Northwest Italy,Riomaggiore (Ligura),Scuba,,"No injury, 3 m shark ""harassed"" him at depth of 5 m",Other
2939,1983.0,BAHAMAS,Berry Islands,Whale Cay,Spearfishing,N,Lacerations to thigh & buttocks,Other
2940,1983.0,USA,Florida,"Intracoastal Waterway, Boca Raton, Palm Beach County",Other,N,"Left calf, knee & hands lacerated",Other
2941,1983.0,USA,Florida," Riviera Beach, Palm Beach County",Surfing,N,"Knocked off board by shark, no injury",No Values
2942,1983.0,USA,Florida,"Haulover Inlet, Dade County",Surfing,N,Right foot bitten,No Values
2943,1983.0,USA,Florida,,Surfing,UNKNOWN,No details,No Values
2944,1983.0,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Fishing,N,Puncture wounds to foot,Raggedtooth shark
2945,1983.0,USA,Florida,"Lake Worth Beach, Palm Beach County",Surfing,N,Left foot bitten,No Values
2946,1983.0,SOUTH AFRICA,KwaZulu-Natal,Mpande,Other,,Survived,Other
2947,1983.0,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Spearfishing,N,Right calf lacerated,Other
2948,1983.0,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,N,"No injury, board bitten",Blacktip shark
2949,1983.0,USA,Florida,"Juno Beach, Palm Beach County",Surfing,N,"Shark nudged board, no injury",No Values
2950,1983.0,NEW CALEDONIA,Loyalty Islands,"We, Lifou",Other,N,Calf bitten,Other
2951,1983.0,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,Other,N,Puncture wounds to buttocks,Other
2952,1983.0,USA,South Carolina,60 miles southeast of Beaufort,Fishing,N,Leg bitten by captive shark PROVOKED INCIDENT,No Values
2953,1983.0,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Other,,FATAL,Other
2954,1983.0,SOUTH AFRICA,Western Cape Province,Muizenberg,Windsurfing,N,Left foot lacerated,No Values
2955,1983.0,SOUTH AFRICA,Western Cape Province,Holbaai,Spearfishing,N,"No injury, rammed by shark",White shark
2956,1983.0,,English Channel,,Swimming,N,Left leg bitten,No Values
2957,1983.0,VANUATU,Malampa Province,"Off the beach opposite Atchin Island, Malakula",Other,Y,"FATAL, arm/shoulder severed ",No Values
2958,1983.0,USA,North & South Carolina,,Fishing,N,Bitten on their feet by landed sharks / lacerations only PROVOKED INCIDENTS,Blue shark
2959,1982.0,USA,South Carolina,"Isle of Palms, Charleston County",Other,N,Arm bitten,No Values
2960,1982.0,USA,Florida,North Dade- Interama area of Biscayne Bay,Windsurfing,N,Left foot lacerated,Other
2961,1982.0,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,N,"No injury, pressure ding on surfboard",No Values
2962,1982.0,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,N,"No Injury, surfboard bitten",White shark
2963,1982.0,USA,Florida,"Patrick Air Force Base, Brevard County",Surfing,N,Laceration to lower left leg,Other
2964,1982.0,USA,California,"Monastery Beach, Carmel Bay, Monterey County",Diving,N,Lacerations to hand,White shark
2965,1982.0,USA,California,"Bear Harbor, Mendocino County",Diving,N,Upper left thigh & buttocks bitten,White shark
2966,1982.0,USA,Florida,"Hollywood Beach, Broward County",Other,,"Remains recovered from 2.7 m tiger shark, but shark involvement prior to death unknown",Other
2967,1982.0,JAPAN,Kumamoto Prefecture,Ariake Bay,Other,Y,FATAL,No Values
2968,1982.0,USA,California,"Morro Rock, Morro Bay, San Obispo County",Surfing,,"No Injury, board bitten",Other
2969,1982.0,SOUTH AFRICA,Western Cape Province,Langebaan,Swimming,N,"Left knee, lower leg & foot bitten",No Values
2970,1982.0,TUNISIA,,"Skanes, near Monaster",Windsurfing,N,Thigh lacerated,Spinner shark
2971,1982.0,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Boarding,,"No injury, swim fin bitten",Other
2972,1982.0,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Other,N,"No injury, ski bitten",White shark
